timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1747329802737,3,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-3,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,3,0,0
1747329802738,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802739,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802740,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-3,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802741,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802741,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802743,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-3,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802743,7,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,7,0,0
1747329802743,7,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,7,0,0
1747329802744,7,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-3,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,7,0,0
1747329802750,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802751,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-3,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802751,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802753,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802753,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-3,text,true,,267,139,3,3,http://localhost:3001/api/stats/user-activity,2,0,0
